Feature,Importance
Age,0.02621672663802008
Fare,0.0323499832216884
Ticket_Frequency,0.01396208832164092
Is_Married,0.00043898655320149415
Survival_Rate,0.2398283426319784
Survival_Rate_NA,0.019533743747037147
Pclass_1,0.01492894318208487
Pclass_2,0.0014743147799179857
Pclass_3,0.04811658597705031
Sex_1,0.08129337644189466
Sex_2,0.08649996973559296
Deck_1,0.0015452361751444707
Deck_2,0.012979665639450647
Deck_3,4.867192285907252e-05
Deck_4,0.026488360795903193
Embarked_1,0.0015817563646617445
Embarked_2,0.00047300308229816275
Embarked_3,0.0059616473107818885
Title_1,0.026895359486785373
Title_2,0.004564213298604661
Title_3,0.023821970665773014
Title_4,0.32246550184056305
Family_Size_Grouped_1,0.0014051906006864354
Family_Size_Grouped_2,6.360637771034877e-05
Family_Size_Grouped_3,0.00123337609742058
Family_Size_Grouped_4,0.005829379111250132
